GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
usuario,pe.com.farmaciadey.usuario.utils,Utils,10,0,0,0,3,0,2,0,2,0
usuario,pe.com.farmaciadey.usuario.controllers,UsuarioController,148,3,2,0,33,1,6,1,5,1
usuario,pe.com.farmaciadey.usuario.models.responses,DataResponse,65,0,0,0,28,0,7,0,7,0
usuario,pe.com.farmaciadey.usuario.services,UsuarioService,131,3,8,0,29,1,9,1,5,1
usuario,pe.com.farmaciadey.usuario,UsuarioApplication,5,3,0,0,2,1,1,1,1,1
usuario,pe.com.farmaciadey.usuario,ServletInitializer,12,0,0,0,2,0,2,0,2,0
