GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
producto,pe.com.farmaciadey.producto.controllers,ProductoController,398,6,18,0,94,2,19,1,10,1
producto,pe.com.farmaciadey.producto.controllers,CategoriaController,148,3,2,0,33,1,6,1,5,1
producto,pe.com.farmaciadey.producto.utils,Utils,10,0,0,0,3,0,2,0,2,0
producto,pe.com.farmaciadey.producto.services,ProductoService,74,43,4,2,17,11,4,6,2,5
producto,pe.com.farmaciadey.producto.services,CategoriaService,69,3,4,0,17,1,7,1,5,1
producto,pe.com.farmaciadey.producto,ServletInitializer,12,0,0,0,2,0,2,0,2,0
producto,pe.com.farmaciadey.producto,ProductoApplication,5,3,0,0,2,1,1,1,1,1
producto,pe.com.farmaciadey.producto.models.responses,DataResponse,65,0,0,0,28,0,7,0,7,0
